ticker,is_us_ticker
A,1
AA,1
AACAF,1
AACAY,1
AACG,1
AADI,1
AAGIY,1
AAIC,1
AAIGF,1
AAL,1
AALBF,1
AAN,1
AANNF,1
AAOI,1
AAON,1
AAP,1
AAPJ,1
AAPL,1
AASZF,1
AAT,1
AAU,1
AAUKF,1
AAVMY,1
AAVVF,1
AAWH,1
AAWW,1
AB,1
ABAT,1
ABB,1
ABBNY,1
ABBRF,1
ABBV,1
ABC,1
ABCB,1
ABCL,1
ABCM,1
ABEO,1
ABEV,1
ABFRF,1
ABG,1
ABILF,1
ABIO,1
ABM,1
ABMD,1
ABML,1
ABNB,1
ABOS,1
ABR,1
ABSCF,1
ABSI,1
ABSSF,1
ABST,1
ABT,1
ABTX,1
ABUS,1
ABVC,1
ABVX,1
ABZPF,1
AC,1
ACA,1
ACAC,1
ACAD,1
ACAZF,1
ACB,1
ACC,1
ACCD,1
ACCO,1
ACCYY,1
ACDC,1
ACDSF,1
ACDVF,1
ACEHF,1
ACEL,1
ACER,1
ACET,1
ACFN,1
ACGBF,1
ACGL,1
ACGN,1
ACH,1
ACHC,1
ACHL,1
ACHR,1
ACHV,1
ACI,1
ACIC,1
ACIU,1
ACIW,1
ACKAY,1
ACKDF,1
ACLD,1
ACLIF,1
ACLLF,1
ACLS,1
ACLTF,1
ACLX,1
ACM,1
ACMLF,1
ACMR,1
ACN,1
ACNB,1
ACNDF,1
ACNT,1
ACON,1
ACOPF,1
ACOR,1
ACPIF,1
ACR,1
ACRDF,1
ACRE,1
ACRHF,1
ACRS,1
ACRV,1
ACRX,1
ACSAY,1
ACST,1
ACSYF,1
ACT,1
ACTD,1
ACTG,1
ACU,1
ACUR,1
ACVA,1
ACXP,1
ADAG,1
ADAP,1
ADBCF,1
ADBE,1
ADBKF,1
ADBRF,1
ADC,1
ADCT,1
ADDLF,1
ADDXF,1
ADDYY,1
ADEA,1
ADES,1
ADEVF,1
ADGI,1
ADI,1
ADIL,1
ADLRF,1
ADM,1
ADMA,1
ADMLF,1
ADMP,1
ADN,1
ADNT,1
ADOCY,1
ADOIF,1
ADP,1
ADPPF,1
ADPT,1
ADRNY,1
ADSE,1
ADSK,1
ADT,1
ADTH,1
ADTN,1
ADTTF,1
ADTX,1
ADUS,1
ADV,1
ADVM,1
ADVOF,1
ADVZF,1
ADXN,1
ADXS,1
ADYEY,1
ADYX,1
ADYYF,1
ADZZF,1
AE,1
AEE,1
AEG,1
AEHR,1
AEIS,1
AEL,1
AELTF,1
AEM,1
AEMD,1
AENZ,1
AEO,1
AEOJF,1
AEOMF,1
AEON,1
AEP,1
AER,1
AERC,1
AERI,1
AES,1
AESE,1
AESI,1
AETUF,1
AEVA,1
AEXAY,1
AEYE,1
AEZS,1
AFBOF,1
AFCG,1
AFCJF,1
AFFY,1
AFG,1
AFHIQ,1
AFI,1
AFIB,1
AFL,1
AFLYY,1
AFMD,1
AFRM,1
AFTM,1
AFXXF,1
AFYA,1
AG,1
AGCO,1
AGEN,1
AGESY,1
AGFAF,1
AGFS,1
AGFY,1
AGGFF,1
AGI,1
AGIL,1
AGIO,1
AGL,1
AGLE,1
AGLNF,1
AGLXY,1
AGM,1
AGNC,1
AGNPF,1
AGO,1
AGPPF,1
AGPYF,1
AGR,1
AGRI,1
AGRO,1
AGRPF,1
AGRUF,1
AGRX,1
AGS,1
AGTC,1
AGTI,1
AGVNF,1
AGX,1
AGYS,1
AGYTF,1
AHCHF,1
AHCO,1
AHEXY,1
AHH,1
AHI,1
AHICF,1
AHKSF,1
AHOTF,1
AHR,1
AHT,1
AI,1
AIABF,1
AIBRF,1
AIG,1
AIH,1
AIKI,1
AIM,1
AIMC,1
AIN,1
AINC,1
AINSF,1
AINV,1
AIP,1
AIPUY,1
AIQUY,1
AIR,1
AIRC,1
AIRG,1
AIRI,1
AIRS,1
AIRYY,1
AIT,1
AIV,1
AIXXF,1
AIZ,1
AJG,1
AJINF,1
AJINY,1
AJRD,1
AJX,1
AKA,1
AKAAF,1
AKAM,1
AKBA,1
AKBLF,1
AKCPF,1
AKEJF,1
AKKVF,1
AKLI,1
AKO.A,1
AKR,1
AKRO,1
AKSJF,1
AKTS,1
AKTX,1
AKU,1
AKUS,1
AKYA,1
AKZOY,1
AL,1
ALAB,1
ALAR,1
ALB,1
ALBHF,1
ALBKF,1
ALBO,1
ALC,1
ALCO,1
ALDA,1
ALDX,1
ALE,1
ALEAF,1
ALEC,1
ALEX,1
ALFFF,1
ALG,1
ALGGF,1
ALGM,1
ALGN,1
ALGS,1
ALGT,1
ALHC,1
ALIM,1
ALIT,1
ALIZY,1
ALK,1
ALKEF,1
ALKS,1
ALKT,1
ALL,1
ALLE,1
ALLG,1
ALLK,1
ALLO,1
ALLR,1
ALLT,1
ALLXF,1
ALLY,1
ALMFF,1
ALMMF,1
ALNA,1
ALNPY,1
ALNT,1
ALNY,1
ALOT,1
ALPKF,1
ALPMF,1
ALPN,1
ALPP,1
ALR,1
ALRM,1
ALRN,1
ALRS,1
ALSMY,1
ALSN,1
ALSSF,1
ALT,1
ALTG,1
ALTI,1
ALTM,1
ALTO,1
ALTR,1
ALTUF,1
ALUR,1
ALV,1
ALVO,1
ALVR,1
ALVRQ,1
ALX,1
ALXO,1
ALYA,1
ALYAF,1
ALZN,1
AM,1
AMADY,1
AMAL,1
AMAM,1
AMAT,1
AMBA,1
AMBC,1
AMBFF,1
AMBO,1
AMBP,1
AMC,1
AMCR,1
AMCX,1
AMD,1
AMDWF,1
AME,1
AMED,1
AMEH,1
AMEUF,1
AMG,1
AMGN,1
AMH,1
AMHLF,1
AMK,1
AMKBY,1
AMKR,1
AMKYF,1
AMLI,1
AMLTF,1
AMLX,1
AMMHF,1
AMN,1
AMNB,1
AMOSF,1
AMOT,1
AMOV,1
AMP,1
AMPE,1
AMPG,1
AMPH,1
AMPL,1
AMPS,1
AMPX,1
AMPY,1
AMR,1
AMRC,1
AMRK,1
AMRN,1
AMRPF,1
AMRS,1
AMRSQ,1
AMRX,1
AMSC,1
AMSF,1
AMSWA,1
AMT,1
AMTB,1
AMTD,1
AMTI,1
AMTX,1
AMV,1
AMWD,1
AMWL,1
AMX,1
AMYT,1
AMZN,1
AN,1
ANAB,1
ANDE,1
ANDHF,1
ANEB,1
ANET,1
ANEWF,1
ANF,1
ANFGF,1
ANFIF,1
ANGGF,1
ANGH,1
ANGI,1
ANGN,1
ANGO,1
ANGPY,1
ANIK,1
ANIOY,1
ANIP,1
ANIX,1
ANL,1
ANNMF,1
ANNSF,1
ANNX,1
ANPDF,1
ANRO,1
ANSLF,1
ANSNF,1
ANSS,1
ANTE,1
ANTH,1
ANTM,1
ANTX,1
ANVS,1
ANY,1
ANZBY,1
ANZFF,1
ANZGF,1
AOIFF,1
AOMR,1
AON,1
AONNF,1
AORT,1
AOS,1
AOSL,1
AOUT,1
AOZOF,1
AP,1
APA,1
APAJF,1
APAM,1
APCX,1
APD,1
APDN,1
APEI,1
APELF,1
APEMY,1
APEN,1
APEOF,1
APG,1
APGE,1
APGN,1
APH,1
APHLF,1
API,1
APLD,1
APLE,1
APLIF,1
APLM,1
APLS,1
APLT,1
APM,1
APNHF,1
APNHY,1
APO,1
APOG,1
APP,1
APPEF,1
APPF,1
APPH,1
APPHQ,1
APPN,1
APPS,1
APRE,1
APRN,1
APTO,1
APTS,1
APTTF,1
APTV,1
APTX,1
APVO,1
APYRF,1
APYX,1
AQB,1
AQMS,1
AQN,1
AQST,1
AQUA,1
AR,1
ARAAF,1
ARAFF,1
ARAV,1
ARAY,1
ARBB,1
ARBE,1
ARBFF,1
ARBK,1
ARBKF,1
ARC,1
ARCB,1
ARCC,1
ARCE,1
ARCH,1
ARCO,1
ARCT,1
ARCW,1
ARDS,1
ARDX,1
ARE,1
AREC,1
AREN,1
ARES,1
ARESF,1
ARGO,1
ARGTF,1
ARGX,1
ARHOF,1
ARHS,1
ARHVF,1
ARI,1
ARIS,1
ARKAY,1
ARKO,1
ARLO,1
ARLP,1
ARLUF,1
ARM,1
ARMK,1
ARMN,1
ARMP,1
ARNC,1
ARNGF,1
AROC,1
AROW,1
ARQQ,1
ARQT,1
ARR,1
ARREF,1
ARRJF,1
ARRPY,1
ARRRF,1
ARRW,1
ARRY,1
ARSSF,1
ARTA,1
ARTH,1
ARTL,1
ARTNA,1
ARTTF,1
ARVL,1
ARVN,1
ARW,1
ARWR,1
ARYMF,1
ARZGY,1
ARZTY,1
AS,1
ASAGF,1
ASAI,1
ASAN,1
ASAZY,1
ASB,1
ASBFY,1
ASBRF,1
ASC,1
ASCCF,1
ASCJF,1
ASEKF,1
ASGLF,1
ASGN,1
ASH,1
ASIX,1
ASLE,1
ASLN,1
ASM,1
ASMB,1
ASMIY,1
ASML,1
ASMVF,1
ASND,1
ASO,1
ASPC,1
ASPCF,1
ASPI,1
ASPN,1
ASPS,1
ASPU,1
ASR,1
ASRMF,1
ASRT,1
ASTC,1
ASTE,1
ASTI,1
ASTL,1
ASTR,1
ASTS,1
ASTTF,1
ASUR,1
ASX,1
ASXC,1
ASXFF,1
ASYS,1
AT:1COV,0
AT:1ZO,0
AT:2B5,0
AT:2SU,0
AT:8TRA,0
AT:A2A,0
AT:AAD,0
AT:AAL,0
AT:AALB,0
AT:AAPL,0
AT:ABBV,0
AT:ABIN,0
AT:ABN,0
AT:ABNB,0
AT:ABT,0
AT:AC,0
AT:ACA,0
AT:ACKB,0
AT:ACS,0
AT:ACX,0
AT:AD,0
AT:AD2,0
AT:ADBE,0
AT:ADI,0
AT:ADJ,0
AT:ADKO,0
AT:ADL,0
AT:ADP,0
AT:ADPA,0
AT:ADS,0
AT:ADSK,0
AT:ADV,0
AT:ADYE,0
AT:AEGN,0
AT:AENA,0
AT:AEPC,0
AT:AFK,0
AT:AFL,0
AT:AFX,0
AT:AG1,0
AT:AGEN,0
AT:AGN,0
AT:AGS,0
AT:AHLA,0
AT:AI,0
AT:AIG,0
AT:AIR,0
AT:AIRF,0
AT:AIXT,0
AT:AKAM,0
AT:AKE,0
AT:AKZO,0
AT:ALBE,0
AT:ALCA,0
AT:ALGN,0
AT:ALLS,0
AT:ALSO,0
AT:ALTR,0
AT:ALV,0
AT:AM3D,0
AT:AMAD,0
AT:AMAT,0
AT:AMD,0
AT:AMGN,0
AT:AMP,0
AT:AMPF,0
AT:AMS,0
AT:AMTG,0
AT:AMUN,0
AT:AMZN,0
AT:ANA,0
AT:ANDR,0
AT:ANET,0
AT:ANSS,0
AT:ANTM,0
AT:AOC,0
AT:AOX,0
AT:APAM,0
AT:APCD,0
AT:APH,0
AT:ARDA,0
AT:ARGX,0
AT:ARL,0
AT:ASML,0
AT:ASMN,0
AT:ATAD,0
AT:ATL,0
AT:ATO,0
AT:ATS,0
AT:ATT,0
AT:ATVI,0
AT:AVBC,0
AT:AVTR,0
AT:AWK,0
AT:AXP,0
AT:AYX,0
AT:AZM,0
AT:AZO,0
AT:BA,0
AT:BAH,0
AT:BAMI,0
AT:BAS,0
AT:BAX,0
AT:BAYN,0
AT:BBVA,0
AT:BBWI,0
AT:BC8,0
AT:BDT,0
AT:BDX,0
AT:BEI,0
AT:BEKB,0
AT:BG,0
AT:BGN,0
AT:BIDU,0
AT:BIIB,0
AT:BIM,0
AT:BKT,0
AT:BLK,0
AT:BLL,0
AT:BMED,0
AT:BMRN,0
AT:BMW,0
AT:BMYS,0
AT:BN,0
AT:BNP,0
AT:BNR,0
AT:BNTX,0
AT:BOAC,0
AT:BOCN,0
AT:BOKA,0
AT:BOL,0
AT:BONY,0
AT:BOOK,0
AT:BOSS,0
AT:BPE,0
AT:BPOS,0
AT:BRDG,0
AT:BRE,0
AT:BRKA,0
AT:BRKB,0
AT:BROA,0
AT:BSXC,0
AT:BVB,0
AT:BVI,0
AT:BY6,0
AT:BYND,0
AT:BYW6,0
AT:BZU,0
AT:CABK,0
AT:CAI,0
AT:CAP,0
AT:CAPG,0
AT:CARG,0
AT:CARL,0
AT:CARR,0
AT:CAT,0
AT:CBK,0
AT:CCIN,0
AT:CDE,0
AT:CDNS,0
AT:CEC,0
AT:CERN,0
AT:CHD,0
AT:CHKP,0
AT:CHMG,0
AT:CHTR,0
AT:CIGN,0
AT:CITI,0
AT:CLNX,0
AT:CMCS,0
AT:CMEG,0
AT:CMI,0
AT:CNCB,0
AT:CNHI,0
AT:CNLI,0
AT:CNP,0
AT:COFB,0
AT:COFI,0
AT:COIN,0
AT:COK,0
AT:COL,0
AT:COLG,0
AT:COLO,0
AT:COLR,0
AT:CON,0
AT:COP2,0
AT:COPH,0
AT:COST,0
AT:CRM,0
AT:CS,0
AT:CSCO,0
AT:CSX,0
AT:CTAS,0
AT:CTSH,0
AT:CTVA,0
AT:CTXS,0
AT:CVAC,0
AT:CVS,0
AT:CVX,0
AT:CWC,0
AT:DAA2,0
AT:DAL,0
AT:DANS,0
AT:DBAN,0
AT:DBK,0
AT:DBO,0
AT:DBX,0
AT:DDD,0
AT:DDPN,0
AT:DEER,0
AT:DELL,0
AT:DEMA,0
AT:DEQ,0
AT:DEZ,0
AT:DFS,0
AT:DG,0
AT:DGEN,0
AT:DHER,0
AT:DHL,0
AT:DHRC,0
AT:DIA,0
AT:DIAS,0
AT:DIC,0
AT:DIM,0
AT:DIS,0
AT:DISA,0
AT:DISH,0
AT:DKI,0
AT:DLTR,0
AT:DOC,0
AT:DOEN,0
AT:DOW,0
AT:DPW,0
AT:DPZ,0
AT:DRI,0
AT:DRW3,0
AT:DSV,0
AT:DSY2,0
AT:DTE,0
AT:DTG,0
AT:DUE,0
AT:DUKE,0
AT:DWNI,0
AT:DWS,0
AT:DXCM,0
AT:EA,0
AT:EBAY,0
AT:EBS,0
AT:ECL,0
AT:ED,0
AT:EDEN,0
AT:EDF,0
AT:EFX,0
AT:EI,0
AT:EK7,0
AT:ELE,0
AT:ELIA,0
AT:ELV,0
AT:EMR,0
AT:EN,0
AT:ENEL,0
AT:ENG,0
AT:ENGI,0
AT:ENI,0
AT:ENR,0
AT:ENX,0
AT:EOAN,0
AT:EOGR,0
AT:EQIX,0
AT:ES,0
AT:ESF,0
AT:ESLA,0
AT:ETSY,0
AT:EVD,0
AT:EVK,0
AT:EVN,0
AT:EVT,0
AT:EWLS,0
AT:EXEC,0
AT:EXO,0
AT:EXPE,0
AT:FAA,0
AT:FACC,0
AT:FASR,0
AT:FAST,0
AT:FB,0
AT:FBK,0
AT:FCEL,0
AT:FCX,0
AT:FDJ,0
AT:FDX,0
AT:FER,0
AT:FER2,0
AT:FGR,0
AT:FIE,0
AT:FISV,0
AT:FIVE,0
AT:FJI,0
AT:FLU,0
AT:FME,0
AT:FNIS,0
AT:FNTN,0
AT:FOOT,0
AT:FORD,0
AT:FOSL,0
